,Name of institution,Designated learning institution number (DLI #),City,Campuses,Offers PGWP-eligible programs
315,Niagara College Canada,O19396019469,Niagara-On-The-Lake,Niagara-On-The-Lake Campus,Yes
316,Niagara College Canada,O19396019469,Welland,Welland Campus,Yes
317,Niagara College Canada at Toronto School of Management,O146982877972,Toronto,"College Street Campus
Jarvis Street Campus
Eglinton Avenue West Campus
Bathurst Street Campus",No (details)
318,Niagara University,O268049601572,Vaughan,Vaughan,Yes
319,Nipissing University,O19395535971,North Bay,North Bay Campus,Yes
320,Nipissing University,O19395535971,Brantford,Brantford Campus,Yes
321,Nipissing University,O19395535971,Bracebridge,Muskoka Campus,Yes
322,North American Business College of Sciences & Language,O138196078692,Toronto,Scarborough Campus,No
323,North American Business College of Sciences & Language,O138196078692,Mississauga,Mississauga,No
324,North American College of Information Technology,O135829985902,Toronto,"Toronto Campus, Scarborough Campus",No
325,North American College of Pharmaceutical Technology,O19358993982,Scarborough,Scarborough,No
326,North American School of Information Technology Inc. (NASIT),O116453040879,Toronto,Toronto,No
327,Northeastern University,O141550844262,Toronto,King West Main,Yes (Details)
328,Northeastern University,O141550844262,Toronto,Queen West,Yes (Details)
329,Northern College,O19315830082,Kirkland Lake,Kirkland Lake Campus,Yes
330,Northern College,O19315830082,South Porcupine,Timmins Campus,Yes
331,Northern College,O19315830082,Temiskaming Shores,Haileybury Campus,Yes
332,Northern College at Pures College of Technology,O297976998801,Scarborough,Scarborough,No (details)
333,Oakleaf College of Business And Technology,O19799913417,Oakville,Oakville,No
334,OCAD University,O19332928222,Toronto,Ontario College of Art & Design University,Yes
335,OIEG Oxford International Education Group,O19376112172,Toronto,Toronto Campus,No
336,Ontario Association of Jungian Analysts Training Programme,O272546195962,Toronto,Toronto,No
337,Ontario College of Business & Technology,O144539947072,Mississauga,Mississauga,No
338,Ontario College of Health and Technology,O260174251212,Stoney Creek,Stoney Creek,No
339,Ontario College of Management and Technology,O146329267202,Toronto,Toronto,No
340,Ontario College of Technology,O212126071591,Toronto,Toronto,No
341,Ontario College of Traditional Chinese Medicine,O120656139497,Markham,"Markham, Markham Clinic",No
342,Ontario Institute of Audio Recording Technology,O131302443977,London,London,No
343,Ontario Psychotherapy and Counseling Program,O148904735162,Toronto,"Madison Avenue Campus
Bloor Street Campus",No
344,Ontario School of Commerce and Technology,O110096841350,Toronto,Downtown Toronto Campus,No
345,Ontario Tech University,O19315945002,Oshawa,Oshawa,Yes
346,OptionTrain College of Management and Technology,O150238810982,Toronto,Toronto,No
347,Osilla Institute for Health Personnel Ltd.,O152836459432,Toronto,Toronto,No
348,Ottawa School of Art / École d’art d’Ottawa,O19711214477,Ottawa,Ottawa,No
349,Ottawa School of Beauty Limited,O117986383607,Ottawa,Ottawa Academy,No
350,Ottawa School of Beauty Limited,O117986383607,Ottawa,West End Academy,No
351,Ottawa School of Beauty Limited,O117986383607,London,Beauty Academy London,No
352,Our Lady Seat of Wisdom College,O19331501342,Barry’s Bay,Barry’s Bay,Yes(details)
353,"Oxford College of Arts, Business & Technology Inc.",O19375414252,Barrie,Barrie,No
354,"Oxford College of Arts, Business and Technology Inc.",O19375414252,Scarborough,"Scarborough, Toronto, Mississauga, Peterborough, Burlington",No
